"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1570";"Паркомат № 2139";"282084334";"Центральный административный округ";"район Хамовники";"Кропоткинский переулок";"Кропоткинский переулок, дом 14";"37.590540509787";"55.739566641328";"2101";"{type=Point, coordinates=[37.5905405405814, 55.739566272527]}";
"1571";"Паркомат № 2140";"282084336";"Центральный административный округ";"район Хамовники";"Кропоткинский переулок";"Кропоткинский переулок, дом 20";"37.588357571758";"55.740748973563";"2101";"{type=Point, coordinates=[37.5883576025921, 55.7407486055357]}";
"1572";"Паркомат № 2141";"282084337";"Западный административный округ";"район Дорогомилово";"Кутузовский проспект";"Кутузовский проспект, дом 3";"37.5689399";"55.7505513";"3211";"{type=Point, coordinates=[37.5689399306864, 55.7505509316085]}";
"1573";"Паркомат № 2142";"282084338";"Центральный административный округ";"район Хамовники";"Лопухинский переулок";"Лопухинский переулок, дом 3, строение 3";"37.597608666865";"55.742137299231";"2101";"{type=Point, coordinates=[37.5976086975596, 55.7421369305374]}";
"1574";"Паркомат № 2143";"282084340";"Центральный административный округ";"Тверской район";"улица Фадеева";"улица Фадеева, дом 4";"37.594318";"55.776787";"3204";"{type=Point, coordinates=[37.5943180306402, 55.7767866317485]}";
"1575";"Паркомат № 2145";"282084341";"Центральный административный округ";"Тверской район";"4-й Лесной переулок";"4-й Лесной переулок, напротив дома 4";"37.5862375";"55.7792913";"0304";"{type=Point, coordinates=[37.5862375306772, 55.7792909317694]}";
"1577";"Паркомат № 2149";"282084344";"Центральный административный округ";"район Хамовники";"Малый Власьевский переулок";"Малый Власьевский переулок, напротив дома 4";"37.592985359455";"55.745403701915";"2101";"{type=Point, coordinates=[37.5929853895836, 55.7454033335604]}";
"1578";"Паркомат № 2150";"282084345";"Центральный административный округ";"Пресненский район";"2-я Брестская улица";"2-я Брестская улица, дом 5";"37.591856";"55.77008";"0303";"{type=Point, coordinates=[37.5918560306366, 55.7700796317098]}";
"1579";"Паркомат № 2152";"282084346";"Центральный административный округ";"Пресненский район";"Малый Ржевский переулок";"Малый Ржевский переулок, дом 7, строение 1";"37.594071211323";"55.756659088015";"2103";"{type=Point, coordinates=[37.5940712416016, 55.7566587196274]}";
"1580";"Паркомат № 2155";"282084348";"Центральный административный округ";"район Хамовники";"Мансуровский переулок";"Мансуровский переулок, дом 16";"37.592616740337";"55.740574486834";"2101";"{type=Point, coordinates=[37.5926167705755, 55.7405741185316]}";
"1581";"Паркомат № 2156";"282084349";"Центральный административный округ";"Пресненский район";"улица Климашкина";"улица Климашкина, напротив дома 5/6";"37.57491";"55.76756";"3203";"{type=Point, coordinates=[37.574910030698, 55.7675596317067]}";
